source,line_no,difficulty,question_text,option_a,option_b,option_c,option_d,correct_answer_old,correct_index,correct_option_text,explanation,options_parse_error
questions_seed_300.sql,2,elementary,I ___ a student.,A. am,B. is,C. are,D. be,A,0,A. am,主詞 I 搭配 be 動詞 am。,
questions_seed_300.sql,3,elementary,She ___ my sister.,A. am,B. is,C. are,D. be,B,1,B. is,第三人稱單數 she 用 is。,
questions_seed_300.sql,4,elementary,They ___ playing soccer.,A. is,B. am,C. are,D. be,C,2,C. are,複數主詞 they 用 are。,
questions_seed_300.sql,5,elementary,What ___ your name?,A. are,B. is,C. am,D. be,B,1,B. is,單數主詞 your name 視為單一概念，用 is。,
questions_seed_300.sql,6,elementary,There ___ five apples.,A. is,B. are,C. am,D. be,B,1,B. are,後接複數名詞用 there are。,
questions_seed_300.sql,7,elementary,He ___ not like coffee.,A. do,B. does,C. is,D. are,B,1,B. does,第三人稱否定喜好用 does not。,
questions_seed_300.sql,8,elementary,___ you like tea?,A. Do,B. Does,C. Is,D. Are,A,0,A. Do,you 搭配助動詞 Do 構成疑問。,
questions_seed_300.sql,9,elementary,I have ___ umbrella.,A. a,B. an,C. the,D. no article,B,1,B. an,umbrella 母音開頭，冠詞用 an。,
questions_seed_300.sql,10,elementary,This is ___ book.,A. a,B. an,C. the,D. no article,A,0,A. a,book 子音開頭，不定冠詞用 a。,
questions_seed_300.sql,11,elementary,Those ___ my shoes.,A. is,B. are,C. am,D. be,B,1,B. are,those 為複數指示代名詞，動詞用 are。,
questions_seed_300.sql,12,elementary,She ___ to school every day.,A. go,B. goes,C. going,D. went,B,1,B. goes,每天習慣用現在簡單式，she 加 -es。,
questions_seed_300.sql,13,elementary,We ___ English on Mondays.,A. study,B. studies,C. studying,D. studied,A,0,A. study,We 為複數主詞，動詞用原形 study。,
questions_seed_300.sql,14,elementary,It ___ raining now.,A. is,B. are,C. am,D. be,A,0,A. is,現在進行式：It is + V-ing。,
questions_seed_300.sql,15,elementary,Can you ___ me?,A. help,B. helps,C. helping,D. helped,A,0,A. help,情態動詞 can 後接動詞原形。,
questions_seed_300.sql,16,elementary,I ___ breakfast at 7 a.m.,A. eat,B. eats,C. eating,D. ate,A,0,A. eat,I 第一人稱，現在簡單式用 eat。,
questions_seed_300.sql,17,elementary,He ___ his homework yesterday.,A. do,B. does,C. did,D. doing,C,2,C. did,yesterday 表過去，助動詞用 did（此處選項為過去式動詞 did 表「做」—若題幹為 finish 類會不同；此題選 did 表完成過去動作）。,
questions_seed_300.sql,18,elementary,They ___ TV last night.,A. watch,B. watches,C. watching,D. watched,D,3,D. watched,last night 過去時間，動詞用過去式 watched。,
questions_seed_300.sql,19,elementary,___ is your birthday?,A. When,B. Where,C. Who,D. How,A,0,A. When,詢問日期用 When。,
questions_seed_300.sql,20,elementary,___ bag is this?,A. Who,B. Whose,C. Which,D. What,B,1,B. Whose,詢問物品所屬用 Whose。,
questions_seed_300.sql,21,elementary,I am ___ years old.,A. seven,B. seventh,C. sevens,D. sevenths,A,0,A. seven,年齡用基數詞 seven。,
questions_seed_300.sql,22,elementary,The cat is ___ the table.,A. in,B. on,C. at,D. of,B,1,B. on,在桌面上用介系詞 on。,
questions_seed_300.sql,23,elementary,The keys are ___ my pocket.,A. on,B. in,C. at,D. by,B,1,B. in,在口袋內部用 in。,
questions_seed_300.sql,24,elementary,She goes to school ___ bus.,A. by,B. on,C. in,D. with,A,0,A. by,交通工具用 by bus。,
questions_seed_300.sql,25,elementary,___! You won the game.,A. Congratulations,B. Sorry,C. Excuse me,D. Goodbye,A,0,A. Congratulations,祝賀對方獲勝用 Congratulations。,
questions_seed_300.sql,26,elementary,It's cold. Please ___ the window.,A. open,B. opens,C. opening,D. opened,A,0,A. open,祈使句請求，動詞用原形 open。,
questions_seed_300.sql,27,elementary,Don't ___ in the library.,A. talk,B. talks,C. talking,D. talked,A,0,A. talk,否定祈使 Don't 後接動詞原形。,
questions_seed_300.sql,28,elementary,How ___ apples do you want?,A. much,B. many,C. old,D. long,B,1,B. many,可數名詞數量用 How many。,
questions_seed_300.sql,29,elementary,How ___ water do you need?,A. many,B. much,C. often,D. far,B,1,B. much,不可數名詞用量用 How much。,
questions_seed_300.sql,30,elementary,I have ___ brother and two sisters.,A. one,B. an,C. much,D. any,A,0,A. one,一位哥哥／弟弟用 one 或 a；選項 one 正確。,
questions_seed_300.sql,31,elementary,This pencil is ___.,A. you,B. your,C. yours,D. you're,C,2,C. yours,名詞後表示「你的（東西）」用名詞性物主代名詞 yours。,
questions_seed_300.sql,32,elementary,___ pen is on the floor?,A. Who,B. Whose,C. Where,D. When,B,1,B. Whose,問「誰的筆」用 Whose。,
questions_seed_300.sql,33,elementary,We should ___ our teeth before bed.,A. brush,B. brushes,C. brushing,D. brushed,A,0,A. brush,情態動詞 should 後接原形 brush。,
questions_seed_300.sql,34,elementary,It's 10 p.m. Let's ___ to bed.,A. go,B. goes,C. going,D. went,A,0,A. go,Let's 後接動詞原形 go。,
